Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SG6243P,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-11-24,,,2031-01-28 12:00:00.000000,1892.0,0,1892.0,1,1,432480.0,,,,5.16,4.99,Scheduled - Future,60,1830,445680.0,0.0,2.0
SG6244L,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1684.0,0,1684.0,1,1,,,,,5.16,0.0,Overdue - Action Required,1884,3,414480.0,2.0,5.0
SG6304Y,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1682.0,0,1682.0,1,1,,,,,4.86,0.0,Overdue - Action Required,1774,3,390280.0,1.0,9.0
SG6312Z,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1682.0,0,1682.0,1,1,,,,,4.72,0.0,Overdue - Action Required,1725,3,379500.0,1.0,8.0
SG5858Y,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2345.0,0,2345.0,1,1,,,,,8.07,0.0,Overdue - Action Required,2949,30,648780.0,0.0,3.0
SG5934K,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-01 00:14:24.000000,2774.0,0,2774.0,1,1,,,,,7.57,0.0,Overdue - Action Required,2765,8,608300.0,0.0,4.0
SG6098S,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-17 06:00:00.000000,2545.0,0,2545.0,1,1,,,,,6.9,0.0,Overdue - Action Required,2520,24,554400.0,0.0,2.0
SG6286R,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-05-29 01:12:00.000000,1947.0,0,1947.0,1,1,,,,,4.99,0.0,Scheduled - Future,1821,125,400620.0,0.0,6.0
SG6293U,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-06-11 01:12:00.000000,1947.0,0,1947.0,1,1,,,,,4.95,0.0,Scheduled - Future,1808,138,397760.0,0.0,5.0
SG6251R,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-07-03 18:28:48.000000,1947.0,0,1947.0,1,1,,,,,4.89,0.0,Scheduled - Future,1785,161,392700.0,0.0,10.0
SG6253K,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-05-09 12:00:00.000000,1892.0,0,1892.0,1,1,,,,,4.89,0.0,Scheduled - Future,1785,105,392700.0,0.0,2.0
