Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SMB1545Z,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,8/12/2019,,8/12/2019,28/9/2027,,0,1756.53082,1,1,335626,618748817,77114110,24614290,10.40273973,4.983561644,Overdue - Action Required,1978,-223,632089,18,3
SMB1546X,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,12/12/2019,,12/12/2019,22/3/2027,,0,1562.588567,1,1,318401,550320866,54363280,26561575,10.4109589,5.002739726,Overdue - Action Required,1974,-412,559113,25,4
SMB1546X,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,12/12/2019,,12/12/2019,29/4/2027,,0,1600,1,1,318401,550320866,54363280,26561575,10.4109589,5.002739726,Overdue - Action Required,1974,-375,559113,25,4
SMB1547T,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,10/11/2019,,10/11/2019,19/5/2027,,0,1652.241736,1,1,348494,637501069,63615220,33872833,10.39726027,4.901369863,Overdue - Action Required,2006,-355,647711,25,3
SMB1547T,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,10/11/2019,,10/11/2019,19/5/2027,,0,1652.241736,1,1,348494,637501069,63615220,33872833,10.39726027,4.901369863,Overdue - Action Required,2006,-355,647711,25,3
SMB1548R,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,21/9/2019,,21/9/2019,13/4/2027,,0,1666.35016,1,1,,748390034,75476830,25536107,10.40273973,4.769863014,Overdue - Action Required,2056,-391,764060,41,1
SMB1548R,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,17/10/2022,,17/10/2022,5/3/2030,,0,1600,1,1,544326,748390034,75476830,25536107,10.40273973,7.843835616,Scheduled - Future,934,665,764060,41,1
SMB1549M,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,17/12/2019,,17/12/2019,27/4/2027,,0,1593.774409,1,1,356644,756515225,84799130,28756134,10.4109589,5.016438356,Overdue - Action Required,1969,-376,771331,39,3
SMB1549M,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,17/12/2019,,17/12/2019,4/5/2027,,0,1600,1,1,356644,756515225,84799130,28756134,10.4109589,5.016438356,Overdue - Action Required,1969,-370,771331,39,3
SMB1550H,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,23/8/2021,00:00.0,23/8/2021,14/11/2025,1203,0,1422.481727,2,4,474319.5,799701568,19373000,10814475,10.39726027,5.039726027,Scheduled - Future,1354,67.5,813360,22,4
SMB1550H,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,23/8/2023,00:00.0,23/8/2023,9/1/2028,1933,0,1600,2,4,521618.5,799701568,19373000,10814475,10.39726027,6.039726027,Scheduled - Future,624,975,813360,22,4
